ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Customer_For,num_children,has_kids,is_grad,is_undergrad,is_single,is_partnered,total_spend,spend_to_income_ratio,MntWines_ratio,MntFruits_ratio,MntMeatProducts_ratio,MntFishProducts_ratio,MntSweetProducts_ratio,MntGoldProds_ratio,total_purchases,web_purchase_ratio,store_purchase_ratio,catalog_purchase_ratio,deal_purchase_ratio,is_discount_heavy,campaign_accept_count,responded_any_campaign,is_recent_customer,is_dormant_customer,is_high_spender,is_low_spender
5524,1957,Graduation,Single,10.970591974102547,0,0,2012-09-04,58.0,6.455198563340122,4.48863636973214,6.304448802421981,5.153291594497779,4.48863636973214,4.48863636973214,3.0,8.0,10.0,4.0,7.0,0,0,0,0,0,0,3,11,1,69.0,663.0,0,0,1,0,1,0,7.388946097618437,0.027813134266744644,0.39270253555967843,0.05442176870748299,0.33766233766233766,0.10636982065553494,0.05442176870748299,0.05442176870748299,22.0,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.13636363636363635,0,0.0,0,0,0,1,0
2174,1954,Graduation,Single,10.743868690309933,1,1,2014-03-08,38.0,2.4849066497880004,0.6931471805599453,1.9459101490553132,1.0986122886681096,0.6931471805599453,1.9459101490553132,2.0,1.0,1.0,2.0,5.0,0,0,0,0,0,0,3,11,0,72.0,113.0,2,1,1,0,1,0,3.332204510175204,0.0005825996892801658,0.4074074074074074,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.2222222222222222,4.0,0.25,0.5,0.25,0.5,0,0.0,0,0,0,0,1
4141,1965,Graduation,Together,11.179045864561353,0,0,2013-08-21,26.0,6.056784013228625,3.912023005428146,4.852030263919617,4.718498871295094,3.091042453358316,3.7612001156935624,1.0,8.0,2.0,10.0,4.0,0,0,0,0,0,0,3,11,0,61.0,312.0,0,0,1,0,0,1,6.655440350367647,0.010836021392763883,0.5489690721649485,0.06314432989690721,0.163659793814433,0.14304123711340205,0.027061855670103094,0.05412371134020619,20.0,0.4,0.5,0.1,0.05,0,0.0,0,1,0,0,0
6182,1984,Graduation,Together,10.190431852901,1,0,2014-02-10,26.0,2.4849066497880004,1.6094379124341003,3.044522437723423,2.3978952727983707,1.3862943611198906,1.791759469228055,2.0,2.0,0.0,4.0,6.0,0,0,0,0,0,0,3,11,0,42.0,139.0,1,1,1,0,0,1,3.9889840465642745,0.0019890415071680554,0.20754716981132076,0.07547169811320754,0.37735849056603776,0.18867924528301888,0.05660377358490566,0.09433962264150944,6.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0,0.0,0,1,0,0,1
5324,1981,PhD,Married,10.973254451090401,1,0,2014-01-19,94.0,5.159055299214529,3.784189633918261,4.77912349311153,3.8501476017100584,3.332204510175204,2.772588722239781,5.0,5.0,3.0,6.0,5.0,0,0,0,0,0,0,3,11,0,45.0,161.0,1,1,1,0,0,1,6.0473721790462776,0.007239291167035493,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.10900473933649289,0.06398104265402843,0.035545023696682464,14.0,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.35714285714285715,0,0.0,0,0,1,0,0
7446,1967,Master,Together,11.043145810640238,0,1,2013-09-09,16.0,6.255750041753367,3.7612001156935624,4.59511985013459,0.0,3.7612001156935624,2.70805020110221,2.0,6.0,4.0,10.0,6.0,0,0,0,0,0,0,3,11,0,59.0,293.0,1,1,1,0,0,1,6.57507584059962,0.011453617647529314,0.7262569832402235,0.05865921787709497,0.13687150837988826,0.0,0.05865921787709497,0.019553072625698324,20.0,0.3,0.5,0.2,0.1,0,0.0,0,1,0,0,0
965,1971,Graduation,Divorced,10.926585752727021,0,1,2012-11-13,34.0,5.4638318050256105,4.189654742026425,5.10594547390058,3.9318256327243257,3.912023005428146,3.332204510175204,4.0,7.0,3.0,7.0,6.0,0,0,0,0,0,0,3,11,0,55.0,593.0,1,1,1,0,1,0,6.3818160174060985,0.010604835085827267,0.3983050847457627,0.11016949152542373,0.27796610169491526,0.0847457627118644,0.08305084745762711,0.04576271186440678,17.0,0.4117647058823529,0.4117647058823529,0.17647058823529413,0.23529411764705882,0,0.0,0,0,0,0,0
6177,1985,PhD,Married,10.417956531216918,1,0,2013-05-08,32.0,4.343805421853684,2.3978952727983707,4.04305126783455,1.3862943611198906,0.6931471805599453,3.1780538303479458,2.0,4.0,0.0,4.0,8.0,0,0,0,0,0,0,3,11,0,41.0,417.0,1,1,1,0,0,1,5.135798437050262,0.0050517127996652115,0.44970414201183434,0.05917159763313609,0.33136094674556216,0.01775147928994083,0.005917159763313609,0.13609467455621302,8.0,0.5,0.5,0.0,0.25,0,0.0,0,0,0,0,0
4855,1974,PhD,Together,10.320617692174796,1,0,2013-06-06,19.0,2.70805020110221,0.0,3.2188758248682006,1.3862943611198906,1.3862943611198906,1.0986122886681096,1.0,3.0,0.0,2.0,9.0,0,0,0,0,0,0,3,11,1,52.0,388.0,1,1,1,0,0,1,3.8501476017100584,0.001515600803927383,0.30434782608695654,0.0,0.5217391304347826,0.06521739130434782,0.06521739130434782,0.043478260869565216,5.0,0.6,0.4,0.0,0.2,0,0.0,0,1,0,0,1
5899,1950,PhD,Together,8.639233817325263,1,1,2014-03-13,68.0,3.367295829986474,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,2.639057329615259,1.0,1.0,0.0,0.0,9.0,1,0,0,0,0,0,3,11,0,76.0,108.0,2,1,1,0,0,1,3.912023005428146,0.008675637393767706,0.5714285714285714,0.0,0.12244897959183673,0.02040816326530612,0.02040816326530612,0.2653061224489796,1.0,1.0,0.0,0.0,1.0,1,1.0,1,0,0,0,1
